,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE,SIZE
1227,1145,Americas,Northern Caribbean,Cayman Islands,,19.71333,-79.99167,Little Cayman,,Mary's Bay,,Cayman Islands,Yes,0,,3
1233,1140,Americas,Northern Caribbean,Cayman Islands,,19.68,-79.88,Cayman Brac,,Dick Sessingers Bay,,Cayman Islands,Yes,0,,3
1238,1139,Americas,Northern Caribbean,Cayman Islands,,19.683329999999998,-79.86667,Cayman Brac,,Coral Isle Club,,Cayman Islands,Yes,0,,3
1254,1272,Americas,Southern Tropical America,Panama,,9.6,-79.66667,Portobelo,,Portobelo,,,Yes,1,,3
1297,1128,Americas,Northern Caribbean,Bahamas,,26.5,-78.36667,Little Bahamas Bank,Barrier,Peterson Cay,,Bahamas,Yes,0,,3
1308,1156,Americas,Southern Tropical America,Colombia,,2.98333,-78.2,Gorgona Island,Fringing,Gorgona Island ( Isla de Gorgona ),,Isla de Gorgona,Yes,0,,3
1312,1208,Americas,Northern Caribbean,Jamaica,,18.45,-77.96667,Jamaica,Fringing,Montego Bay,,,Yes,1,,3
1315,1207,Americas,Northern Caribbean,Jamaica,,18.433329999999998,-77.95,Montego Bay,,Bogue,,,Yes,0,,3
1321,1162,Americas,Northern Caribbean,Cuba,,22.0,-77.75,Cayo Romano,,Romano ( Cayo Romano ),,,Yes,0,,3
1343,1209,Americas,Northern Caribbean,Jamaica,,18.4,-77.08333,Jamaica,Fringing,Ocho Rios,,,Yes,1,,3
1344,3512,Americas,Northern Caribbean,Bahamas,,26.616670000000003,-77.03333,Man-O-War Cay,,Man-o-War Cay,,,Yes,0,,3
1346,1127,Americas,Northern Caribbean,Bahamas,,26.4,-77.0,Abaco Island,Fringing,Pelican Cays,,Bahamas,Yes,0,,3
1366,1126,Americas,Northern Caribbean,Bahamas,,26.58333,-75.93333,Little San Salvador (Little Island),,Little San Salvador ( Little Island ),,,Yes,1,,3
1378,1123,Americas,Northern Caribbean,Bahamas,,23.83333,-75.11667,Conception Island,,Conception Island,,Bahamas,Yes,0,,3
1395,1157,Americas,Southern Tropical America,Colombia,,11.3,-74.16667,,Fringing/Patch,Sierra Nevada de Santa Marta,,,Yes,0,,3
1397,1158,Americas,Southern Tropical America,Colombia,,11.33333,-74.03333,Tayrona,,Tayrona,,,Yes,0,,3
1403,1125,Americas,Northern Caribbean,Bahamas,,21.15,-73.51666999999999,Inagua,Barrier/Fringing,Inagua,,Bahamas,Yes,0,,3
1418,1169,Americas,Northern Caribbean,Dominican Republic,,19.883329999999997,-71.73333000000001,Monte Cristi,,Monte Cristi,,,Yes,0,,3
1419,1167,Americas,Northern Caribbean,Dominican Republic,,17.433329999999998,-71.31667,Jaragua,,Jaragua,,,Yes,0,,3
1437,1170,Americas,Northern Caribbean,Dominican Republic,,18.45,-69.9,Hispa�ola,,Parque Submarino La Caleta,,,Yes,0,,3
1467,1166,Americas,Northern Caribbean,Dominican Republic,,18.116670000000003,-68.68333,Hispa�ola,Fringing/Patch Reef,Del Este,,,Yes,0,,3
1475,820,Americas,Eastern Caribbean,Netherlands Antilles,,12.18333,-68.3,Leeward Group,Fringing,Bonaire,,Leeward islands,Yes,1,,3
1476,821,Americas,Eastern Caribbean,Netherlands Antilles,,12.13333,-68.3,Bonaire,,Klein Bonaire,,Lesser Antilles,Yes,1,,3
1479,157,Americas,Eastern Caribbean,Netherlands Antilles,,12.05,-68.26666999999999,Bonaire,Fringing,Lac Lagoon,,Lesser Antilles,Yes,0,,3
1480,1362,Americas,Southern Tropical America,Venezuela,,10.88333,-68.25,Morrocoy,Fringing,Morrocoy,,,Yes,0,,3
1484,1284,Americas,U.S. Caribbean,Puerto Rico,,18.066670000000002,-67.86667,Puerto Rico,Fringing,Isla de Mona,,,Yes,0,,3
1490,1280,Americas,U.S. Caribbean,Puerto Rico,,18.0,-67.2,Boqueron,,Boqueron,,,Yes,1,,3
1492,1285,Americas,U.S. Caribbean,Puerto Rico,,17.91667,-67.06667,La Parguera,Barrier/Fringing/Non-reef coral community,La Parguera,,,Yes,1,,3
1497,1336,Americas,Southern Tropical America,Venezuela,,11.83333,-66.75,ArchipiTlago Los Roques,,ArchipiTlago Los Roques,,,Yes,0,,3
1499,1283,Americas,U.S. Caribbean,Puerto Rico,,17.883329999999997,-66.51666999999999,Puerto Rico,,Isla Caja de Muerto,,,Yes,1,,3
1501,1282,Americas,U.S. Caribbean,Puerto Rico,,17.91667,-66.23333000000001,Puerto Rico,,Jobos Bay ( Bahia de Jobos ),,,Yes,0,,3
1507,1281,Americas,U.S. Caribbean,Puerto Rico,,18.383329999999997,-65.58333,Cayos de la Cordillera,,Cayos de la Cordillera,,,Yes,0,,3
1536,518,Americas,Northern Caribbean,Bermuda,,32.33333,-64.83333,Bermuda,Platform,North Terrace Reefs,,Bermuda Islands,Yes,0,,3
1551,43,Americas,Northern Caribbean,Bermuda,,32.3,-64.75,Bermuda Reef System,Platform,Bermuda,,Bermuda Islands,Yes,1,,3
1560,1132,Americas,Northern Caribbean,Bermuda,,32.3,-64.73333000000001,South Rim Reefs,Platform,South Shore Coral Reefs,,Bermuda Islands,Yes,0,,3
1568,4101,Americas,Northern Caribbean,Bermuda,,32.48333,-64.71667,North Shore Coral Reef Preserve,Patch Reef,North Rock Reefs,,Bermuda Islands,Yes,0,,3
1570,3622,,,,,18.44833,-64.70333000000001,British Virgin Islands,,Green Cay,,Virgin Islands,Yes,1,,3
1573,1665,Americas,Northern Caribbean,Bermuda,,32.5,-64.7,North Rim Reefs,Coralline algae/Vermetid reef,North East Breakers,,Bermuda Islands,Yes,0,,3
1574,1668,Americas,Northern Caribbean,Bermuda,,32.25,-64.7,South Shore Coral Reefs,Coralline algae/Vermetid reef,Checkerboard,,Bermuda Islands,Yes,0,,3
1575,1669,Americas,Northern Caribbean,Bermuda,,32.23333,-64.7,South Shore Coral Reefs,Coralline algae/Vermetid reef,Stonehole Head,,Bermuda Islands,Yes,0,,3
1592,444,,,,,17.775,-64.61667,St. Croix,Barrier,Buck Island Reef,,,Yes,1,,3
1595,1331,,,,,17.781670000000002,-64.61667,Buck Island,Barrier,Buck Island,,,Yes,0,,3
1601,1322,,,,,18.35,-64.58333,British Virgin Islands,,Peter Island,,Leeward Islands,Yes,1,,3
1608,1316,,,,,18.365,-64.56333000000001,British Virgin Islands,,Dead Chest Island,,Virgin Islands,Yes,1,,3
1611,1330,,,,,18.366670000000003,-64.55,Peter Island,,Wreck of the Rhone,,Virgin Islands,Yes,1,,3
1614,1326,,,,,18.366670000000003,-64.52833000000001,Salt Island,,Salt Island,,Leeward Islands,Yes,1,,3
1617,3535,,,,,18.37167,-64.50833,British Virgin Islands,Fringing,Cooper Island,,Virgin Islands,Yes,1,,3
1619,1360,Americas,Southern Tropical America,Venezuela,,10.33333,-64.5,Mochima,Non-reef coral community,Mochima,14.0,,Yes,0,,3
1620,1325,,,,,18.39667,-64.45833,Virgin Gorda,,Round Rock Island,,Leeward Islands,Yes,1,,3
1622,1318,,,,,18.433329999999998,-64.45,Virgin Gorda,,Fort Point,,Virgin Islands,Yes,0,,3
1624,4100,Americas,Northern Caribbean,Bermuda,,32.41667,-64.45,Bermuda,Various structure types present,North Shore Coral Reef Preserve,,Bermuda,Yes,0,,3
1626,1317,,,,,18.41667,-64.44833,Virgin Gorda,,Fallen Jerusalem Island,,Virgin Islands,Yes,1,,3
1627,1328,,,,,18.425,-64.44167,Virgin Gorda,,The Baths,,Leeward Islands,Yes,1,,3
1628,1329,,,,,18.50167,-64.43666999999999,The Dogs,,The Seal Dogs,,Virgin Islands,Yes,0,,3
1631,1320,,,,,18.508329999999997,-64.39166999999999,Virgin Gorda,,Mosquito Island,,Leeward Islands,Yes,0,,3
1633,1327,,,,,18.50333,-64.35833000000001,Virgin Gorda,,St. Eustatia,,Leeward Islands,Yes,0,,3
1634,1321,,,,,18.525,-64.355,Virgin Gorda,,Necker Island,,Leeward Islands,Yes,0,,3
1635,1323,,,,,18.50167,-64.35,Virgin Gorda,Bank/Barrier,Prickly Pear,,Leeward Islands,Yes,0,,3
1637,1319,,,,,18.65,-64.25,Anegada,Fringing,Horseshoe Reef,,Leeward Islands,Yes,0,,3
1647,819,Americas,Eastern Caribbean,Netherlands Antilles,,17.633329999999997,-63.25,Saba,Fringing/Non-reef coral community,Saba,61.0,Windward Islands,Yes,1,,3
1684,4069,Americas,Eastern Caribbean,Antigua and Barbuda,,17.183329999999998,-61.85,Antigua,Bank/Patch Reef,Diamond Reef Marine Park,,Antigua,Yes,0,,3
1686,4070,Americas,Eastern Caribbean,Antigua and Barbuda,,17.183329999999998,-61.85,Antigua,,Boon Reefs,,Antigua,Yes,0,,3
1688,4076,Americas,Eastern Caribbean,Antigua and Barbuda,,17.183329999999998,-61.833330000000004,Antigua,Bank,Diamond Bank,,Antigua,Yes,0,,3
1692,3992,Americas,Eastern Caribbean,Guadeloupe,,16.16667,-61.8,Guadeloupe,Fringing,L'ilet Pigeon,48.0,Guadeloupe,Yes,0,,3
1696,1114,Americas,Eastern Caribbean,Antigua and Barbuda,,17.51667,-61.75,Barbuda,Patch Reef,Palaster Reef,50.0,Barbuda,Yes,0,,3
1697,1113,Americas,Eastern Caribbean,Antigua and Barbuda,,17.133329999999997,-61.73333,Antigua,Fringing,Northeast  Archipelago,,Antigua,Yes,0,,3
1700,1112,Americas,Eastern Caribbean,Antigua and Barbuda,,17.066670000000002,-61.683330000000005,Antigua,Barrier,Green Island Reefs,,Antigua,Yes,0,,3
1715,1165,Americas,Eastern Caribbean,Dominica,,15.59167,-61.475,Cabrits,Fringing,Cabrits,,,Yes,0,,3
1719,1292,Americas,Eastern Caribbean,St. Vincent and the Grenadines,,12.56667,-61.433330000000005,Frigate Rock,,Frigate Rock,,,Yes,0,,3
1729,1296,Americas,Eastern Caribbean,St. Vincent and the Grenadines,,12.98333,-61.28333000000001,West Cay,,West Cay,,,Yes,0,,3
1730,1293,Americas,Eastern Caribbean,St. Vincent and the Grenadines,,12.95,-61.25,Isle de Quatre,,Isle de Quatre,,,Yes,0,,3
1745,3982,Americas,Eastern Caribbean,St. Lucia,,13.833329999999998,-61.066669999999995,St. Lucia,Fringing,Soufriere,,,Yes,0,,3
1752,1243,Americas,Eastern Caribbean,Martinique,,14.75,-60.933330000000005,Pointe Rouge,,Pointe Rouge,,,Yes,0,,3
1753,1290,Americas,Eastern Caribbean,St. Lucia,,13.71667,-60.933330000000005,Maria Islands,Patch Reef,Maria Islands,,,Yes,0,,3
1754,1291,Americas,Eastern Caribbean,St. Lucia,,14.1,-60.916669999999996,Pigeon Island,,Pigeon Island,,,Yes,0,,3
1756,1241,Americas,Eastern Caribbean,Martinique,,14.766670000000001,-60.9,Caravelle,Fringing,Caravelle,,,Yes,0,,3
1758,1338,Americas,Eastern Caribbean,Trinidad and Tobago,,11.16667,-60.85,Buccoo Reef,Fringing,Buccoo Reef,21.0,,Yes,1,,3
1759,1242,Americas,Eastern Caribbean,Martinique,,14.5,-60.816669999999995,Grand Macabou,,Grand Macabou,,,Yes,0,,3
1781,37,Americas,Eastern Caribbean,Barbados,,13.2,-59.55,Windward Islands,Fringing,Barbados,,,Yes,1,,3
1824,451,Americas,Southern Tropical America,Brazil,,-17.66667,-38.5,Abrolhos Bank,Platform,Abrolhos Reefs ( Abrolhos  Archipelago ),20.0,Abrolhos Reefs,Yes,0,,3
1830,1006,Americas,Southern Tropical America,Brazil,,-3.93333,-33.81667,Atol das Rocas,Pseudo-atoll,Rocas Atoll ( Atol das Rocas ),,,Yes,0,,3
