,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE,SIZE
983,12723,Americas,Northern Caribbean,Cuba,,22.91667,-83.475,Colorado Barrier Reef,Fringing,Paraiso (Cayo Paraiso ),,,No,0,,3
984,3986,Americas,Northern Caribbean,Cuba,,22.98333,-83.4,Colorado Barrier Reef,Barrier,Colorado Barrier Reef,,Cuba,No,0,,3
985,11536,Americas,Mesoamerica,Nicaragua,,12.86667,-83.36667,Miskito Bank,Fringing,Tiara Cay ( Tahira ),,,No,0,,3
986,11534,Americas,Mesoamerica,Nicaragua,,13.05,-83.36667,Miskito Bank,Fringing,Man o' War Cay,,,No,0,,3
987,11539,Americas,Mesoamerica,Nicaragua,,12.31667,-83.35,Miskito Bank,Fringing,Set Net Cay,,,No,0,,3
988,11543,Americas,Mesoamerica,Nicaragua,,12.4,-83.35,Miskito Bank,Fringing,Pearl Cays,,,No,0,,3
989,11544,Americas,Mesoamerica,Nicaragua,,12.4,-83.35,Miskito Bank,Fringing,Maroon Cay,,,No,0,,3
990,11538,Americas,Mesoamerica,Nicaragua,,12.48333,-83.33333,Miskito Bank,Fringing,Asking Cay,,,No,0,,3
991,709,Americas,Southern Tropical America,Costa Rica,,8.66667,-83.33333,Golfo Dulce,Fringing,Sandalo,,,No,0,,3
992,11535,Americas,Mesoamerica,Nicaragua,,12.95,-83.31667,Miskito Bank,Fringing,Crawl Cay,,,No,0,,3
993,11537,Americas,Mesoamerica,Nicaragua,,12.7,-83.25,Miskito Bank,Fringing,Kings Cay,,,No,0,,3
994,711,Americas,Southern Tropical America,Costa Rica,,8.6,-83.2,Golfo Dulce,Fringing,Golfo Dulce,200.0,,No,0,,3
995,12722,Americas,Northern Caribbean,Cuba,,22.98333,-83.16667,Colorado Barrier Reef,Fringing,Honda Bay ( Bahia Honda ),,,No,0,,3
996,706,Americas,Southern Tropical America,Costa Rica,,8.31667,-83.15,Golfo Dulce,Patch Reef,Punta El Bajo,,,No,0,,3
997,707,Americas,Southern Tropical America,Costa Rica,,8.31667,-83.15,Golfo Dulce,Fringing,Punta Bejuco,,,No,0,,3
998,3820,,,,,29.3,-83.13333,Florida Reef Tract,,Hog Island,,,No,1,,3
999,7951,Americas,Mesoamerica,Nicaragua,,13.266670000000001,-83.08333,Nicaragua,Patch Reef/Platform,Nicaragua,,,No,0,,3
1000,8910,Americas,Mesoamerica,Nicaragua,,14.508329999999999,-83.06667,Miskito Bank,Fringing,Aukkuni,,,No,0,,3
1001,1405,Americas,Mesoamerica,Nicaragua,,12.16667,-83.05,Miskito Bank,Fringing,Cana Point,,,No,0,,3
1002,8908,Americas,Mesoamerica,Nicaragua,,14.416670000000002,-83.03333,Miskito Bank,Fringing,Taro Cay,,,No,0,,3
1003,11541,Americas,Mesoamerica,Nicaragua,,12.1,-83.01666999999999,Miskito Bank,Fringing,Great Corn Island ( Isla del Maiz Grande ),,,No,0,,3
1004,8911,Americas,Mesoamerica,Nicaragua,,14.21667,-83.01666999999999,Miskito Bank,Fringing,Wice Agnes,,,No,0,,3
1005,8945,Americas,Mesoamerica,Nicaragua,,12.16667,-82.98333000000001,Miskito Bank,Fringing,Corn Islands ( Isla del Maiz ),,,No,0,,3
1006,8907,Americas,Mesoamerica,Nicaragua,,14.566670000000002,-82.98333000000001,Miskito Bank,Patch Reef,Oter Mohogan,,,No,0,,3
1007,8806,Americas,Mesoamerica,Nicaragua,,14.307170000000001,-82.95333000000001,Miskito Bank,Patch Reef,Nasa Reef,2.0,,No,0,,3
1008,8812,Americas,Mesoamerica,Nicaragua,,14.403670000000002,-82.95267,Miskito Bank,Patch Reef,Pinnacle Reef (SW of Morrison and Dennison Reef),15.0,,No,0,,3
1009,3575,,,,,27.95,-82.95,Clearwater,,Clearwater,,,No,1,,3
1010,8906,Americas,Mesoamerica,Nicaragua,,14.566670000000002,-82.95,Miskito Bank,Patch Reef,Hamkiro,,,No,0,,3
1011,11540,Americas,Mesoamerica,Nicaragua,,12.21667,-82.93333,Miskito Bank,Fringing,Little Corn Island ( Isla del Maiz Peque�a ),,,No,0,,3
1012,8809,Americas,Mesoamerica,Nicaragua,,14.42167,-82.875,Miskito Bank,Patch Reef,Uanvatkira Rock,4.0,,No,0,,3
1013,8396,,,,,24.65,-82.86667,,Shoal,Dry Tortugas,,,No,0,,3
1014,8942,Americas,Mesoamerica,Nicaragua,,14.416670000000002,-82.86667,Miskito Bank,Fringing,Morrison Dennis Cays,,,No,0,,3
1015,8912,Americas,Mesoamerica,Nicaragua,,14.28333,-82.86667,Miskito Bank,Patch Reef,Lamarka Reef,,,No,0,,3
1016,7604,,,,,28.21667,-82.85,Florida,,Anclote Key,,,No,1,,3
1018,8875,Americas,Mesoamerica,Nicaragua,,14.166670000000002,-82.83333,Miskito Bank,Fringing,Ned Thomas Reef,10.0,,No,0,,3
1019,9019,Americas,Mesoamerica,Nicaragua,,14.356670000000001,-82.82,Miskito Bank,Patch Reef,Point Bar,1.5,,No,0,,3
1021,3628,Americas,Southern Tropical America,Costa Rica,,9.73333,-82.81667,Punta Mona,,Punta Mona,,,No,0,,3
1023,3626,Americas,Southern Tropical America,Costa Rica,,9.91667,-82.8,Punta Cocles,,Punta Cocles,,,No,0,,3
1024,8905,Americas,Mesoamerica,Nicaragua,,14.616670000000001,-82.78333,Miskito Bank,Fringing,Northwest Reef,,,No,0,,3
1025,3991,Americas,Northern Caribbean,Cuba,,21.46667,-82.78333,Isla de Juventud,Fringing,Isla de Juventud ( Isla de Pinos ),,,No,1,,3
1026,8898,Americas,Mesoamerica,Nicaragua,,14.166670000000002,-82.75,Miskito Bank,Patch Reef,The Witties,,,No,0,,3
