,lat,lon,popdens
261,52.125,4.875,355.78
262,52.125,5.125,612.92
263,52.125,5.375,1819.04
264,52.125,5.625,286.22
265,52.125,5.875,396.67
266,52.125,6.125,442.25
267,52.125,6.875,256.71
268,52.125,7.125,256.71
269,52.125,8.625,570.04
270,52.125,8.875,570.04
271,52.125,9.625,442.25
272,52.125,10.375,475.52
273,52.125,11.625,1094.89
274,52.125,20.625,570.04
275,52.125,20.875,458.58
276,52.125,21.125,442.25
277,52.125,21.375,286.22
278,52.125,30.875,256.71
279,52.125,31.125,256.71
280,52.125,76.875,382.54
281,51.875,-8.375,442.25
282,51.875,-0.375,683.35
283,51.875,-0.125,382.54
284,51.875,0.125,276.02
285,51.875,0.875,458.58
286,51.875,1.125,396.67
287,51.875,4.125,1177.24
288,51.875,4.375,2431.23
289,51.875,4.625,1819.04
290,51.875,4.875,296.78
291,51.875,5.375,570.04
292,51.875,5.625,511.28
293,51.875,5.875,2614.1
294,51.875,6.375,296.78
295,51.875,6.625,256.71
296,51.875,6.875,256.71
297,51.875,7.625,355.78
298,51.875,8.375,368.92
299,51.875,8.625,266.19
300,51.875,8.875,286.22
301,51.875,12.125,355.78
302,51.875,14.375,343.11
303,51.875,19.375,1177.24
304,51.875,107.625,1411.26
305,51.875,107.875,612.92
306,51.625,-3.875,411.31
307,51.625,-3.625,411.31
308,51.625,-3.375,947.06
309,51.625,-3.125,612.92
310,51.625,-2.875,355.78
311,51.625,-0.875,511.28
312,51.625,-0.625,458.58
313,51.625,-0.375,1135.32
314,51.625,-0.125,3493.87
315,51.625,0.125,355.78
316,51.625,0.375,442.25
317,51.625,4.625,307.74
318,51.625,4.875,734.75
319,51.625,5.125,982.03
320,51.625,5.375,708.59
321,51.625,5.625,591.09
322,51.625,5.875,276.02
323,51.625,6.375,382.54
324,51.625,6.625,458.58
325,51.625,6.875,475.52
326,51.625,7.125,849.44
327,51.625,7.375,849.44
328,51.625,7.625,790.02
329,51.625,7.875,790.02
330,51.625,15.125,849.44
331,51.625,16.125,549.74
332,51.625,17.875,1411.26
333,51.625,19.375,1312.53
334,51.625,36.125,2180.63
335,51.625,39.125,2028.09
336,51.625,39.375,1573.44
337,51.625,45.875,1055.9
338,51.625,55.125,1573.44
339,51.375,-2.875,493.08
340,51.375,-2.625,493.08
341,51.375,-2.375,493.08
342,51.375,-0.875,635.55
343,51.375,-0.625,849.44
344,51.375,-0.375,1312.53
345,51.375,-0.125,4188.39
346,51.375,0.125,880.81
347,51.375,0.375,819.19
348,51.375,0.625,330.89
349,51.375,0.875,296.78
350,51.375,1.125,442.25
351,51.375,1.375,1135.32
352,51.375,3.375,659.02
353,51.375,4.375,947.06
354,51.375,4.625,286.22
355,51.375,5.875,256.71
356,51.375,6.125,570.04
357,51.375,6.375,549.74
358,51.375,6.625,1691.79
359,51.375,6.875,1463.37
360,51.375,7.125,1094.89
361,51.375,7.375,819.19
362,51.375,7.625,426.5
363,51.375,7.875,426.5
364,51.375,12.375,3249.46
365,51.375,19.375,1573.44
366,51.375,21.125,982.03
367,51.375,25.875,2028.09
368,51.375,42.125,426.5
369,51.375,51.125,493.08
370,51.125,-114.125,1411.26
371,51.125,-0.625,343.11
372,51.125,-0.375,307.74
373,51.125,-0.125,1573.44
374,51.125,0.125,256.71
375,51.125,0.375,319.11
376,51.125,0.625,256.71
377,51.125,1.125,276.02
378,51.125,1.375,330.89
379,51.125,3.125,411.31
380,51.125,3.625,396.67
381,51.125,3.875,382.54
382,51.125,4.125,761.89
383,51.125,4.375,1691.79
384,51.125,4.625,511.28
385,51.125,4.875,475.52
386,51.125,5.125,266.19
387,51.125,5.875,442.25
388,51.125,6.125,330.89
389,51.125,6.375,1411.26
390,51.125,6.625,761.89
391,51.125,6.875,1819.04
392,51.125,7.125,1691.79
393,51.125,7.375,319.11
394,51.125,7.625,426.5
395,51.125,13.375,319.11
396,51.125,13.625,612.92
397,51.125,13.875,761.89
398,51.125,16.125,266.19
399,51.125,16.875,2102.98
400,51.125,17.125,1220.71
401,51.125,20.875,319.11
402,51.125,51.375,368.92
403,51.125,58.375,493.08
404,51.125,58.625,382.54
405,51.125,71.375,819.19
406,50.875,-1.125,1463.37
407,50.875,-0.625,591.09
408,50.875,-0.375,1411.26
409,50.875,-0.125,3022.14
410,50.875,2.875,266.19
411,50.875,3.125,591.09
412,50.875,3.375,708.59
413,50.875,3.625,411.31
414,50.875,3.875,382.54
415,50.875,4.125,511.28
416,50.875,4.375,8044.74
417,50.875,4.625,708.59
418,50.875,4.875,256.71
419,50.875,5.375,266.19
420,50.875,5.625,1312.53
421,50.875,5.875,458.58
422,50.875,6.125,570.04
423,50.875,6.375,296.78
424,50.875,6.625,659.02
425,50.875,6.875,659.02
426,50.875,7.125,1094.89
427,50.875,7.375,511.28
428,50.875,7.625,319.11
429,50.875,8.125,256.71
430,50.875,12.125,307.74
431,50.875,12.625,355.78
432,50.875,12.875,1018.3
433,50.875,15.625,635.55
434,50.875,16.375,343.11
435,50.875,19.125,1312.53
436,50.875,20.625,1886.21
437,50.875,24.375,849.44
438,50.875,34.875,1094.89
439,50.625,-1.375,343.11
440,50.625,2.625,307.74
441,50.625,2.875,266.19
442,50.625,3.125,2521.01
443,50.625,3.375,256.71
444,50.625,4.375,659.02
445,50.625,4.625,307.74
446,50.625,5.625,2180.63
447,50.625,6.375,511.28
448,50.625,7.125,1135.32
449,50.625,7.375,368.92
450,50.625,7.625,266.19
451,50.625,8.625,296.78
452,50.625,8.875,296.78
453,50.625,12.875,296.78
454,50.625,13.875,1517.41
455,50.625,18.625,266.19
456,50.375,3.125,819.19
457,50.375,3.375,511.28
458,50.375,3.875,396.67
459,50.375,4.375,286.22
460,50.375,7.125,256.71
461,50.375,7.375,256.71
462,50.375,7.625,982.03
463,50.375,8.375,426.5
464,50.375,8.625,286.22
465,50.375,8.875,276.02
466,50.375,9.125,276.02
467,50.375,9.375,296.78
468,50.375,9.625,296.78
469,50.375,15.625,276.02
470,50.375,16.125,426.5
471,50.375,18.125,530.16
472,50.375,18.375,355.78
473,50.375,18.625,1312.53
474,50.375,18.875,2710.63
475,50.375,19.125,1055.9
476,50.375,19.375,659.02
477,50.375,30.625,1819.04
478,50.375,57.125,511.28
479,50.375,80.375,355.78
480,50.125,4.875,266.19
481,50.125,8.375,880.81
482,50.125,8.625,2521.01
483,50.125,8.875,343.11
484,50.125,9.125,296.78
485,50.125,9.375,286.22
486,50.125,14.125,1411.26
487,50.125,14.375,761.89
488,50.125,15.125,296.78
489,50.125,18.625,368.92
490,50.125,18.875,1018.3
491,50.125,19.125,612.92
492,50.125,19.375,612.92
493,50.125,23.125,319.11
494,50.125,30.375,570.04
495,49.875,-119.375,442.25
496,49.875,-99.875,256.71
497,49.875,-97.125,1312.53
498,49.875,2.375,570.04
499,49.875,6.125,286.22
500,49.875,8.375,368.92
501,49.875,8.625,1135.32
502,49.875,8.875,442.25
503,49.875,18.125,1177.24
504,49.875,18.375,880.81
505,49.875,18.625,266.19
506,49.875,19.125,396.67
507,49.875,19.375,368.92
508,49.875,23.875,493.08
509,49.875,72.875,947.06
510,49.875,73.125,947.06
511,49.625,-112.875,368.92
512,49.625,-103.875,307.74
513,49.625,-1.625,2102.98
514,49.625,3.375,256.71
515,49.625,6.125,1135.32
516,49.625,8.375,708.59
517,49.625,8.625,368.92
518,49.625,8.875,319.11
519,49.625,12.125,475.52
520,49.625,17.375,475.52
521,49.625,18.125,307.74
522,49.625,18.375,493.08
523,49.625,18.625,442.25
524,49.625,21.125,734.75
525,49.625,37.625,286.22
526,49.625,72.875,849.44
527,49.625,117.125,511.28
528,49.375,-123.125,549.74
529,49.375,-122.625,319.11
530,49.375,3.375,475.52
531,49.375,6.125,1018.3
532,49.375,6.625,442.25
